name,address,city,state,zip,latitude,longitude,website
Shorter College,604 Locust St,N Little Rock,AR,72114,34.759308,-92.26049,www.shortercollege.org/
Citrus Heights Beauty College,7518 Baird Way,Citris Heights,CA,95610,38.713353,-121.289431,www.chbeautycollege.com
Joe Blasco Makeup Artist Training Center,1670 Hillhurst Avenue,Los Angeles,CA,90027,34.101481,-118.28707,www.joeblasco.com
Waynes College Of Beauty,1271 North Main Street,Salinas,CA,93906,36.700631,-121.652662,www.waynescollegeofbeauty.com
Hult International Business School,1 Education Street,Cambridge,MA,2141,42.36993,-71.070737,www.hult.edu
Vogue College Of Cosmetology,1601 St Michael'S Dr Ste A,Santa Fe,NM,87505,35.659789,-105.975299,voguebeautycollege.com
Vogue College - Mcallen,800 Fern Avenue,Mcallen,TX,78501,26.232656,-98.223022,voguebeautycollege.com
Montana Bible College,3625 S 19Th Ave,Bozeman,MT,59718,45.655524,-111.064143,www.montanabiblecollege.edu
Kc'S School Of Hair Design,152 Highway 15 North,Pontotoc,MS,38863,34.255561,-89.017408,www.kcsschoolofhair.com
Colton-Redlands-Yucaipa Regional Occupational Program,1214 Indiana Ct,Redlands,CA,92374,34.06829,-117.204959,www.cryrop.org
Cheveux School Of Hair Design,4781-1 Gum Branch Road,Jacksonville,NC,28540,34.831301,-77.461299,not available
Watson School Of Biological Sciences At Cold Spring Harbor Laboratory,1 Bungtown Rd,Cold Spring Harbor,NY,11724,40.867183,-73.472293,www.cshl.edu/gradschool/
American College Of Healthcare Sciences,5940 Sw Hood Ave,Portland,OR,97239,45.480384,-122.674533,www.achs.edu
Universal Technical Institute - Dallas Fort Worth,5151 Regents Blvd,Irving,TX,75063,32.938104,-97.012679,www.uti.edu
International Culinary Center-California,700 West Hamilton Avenue,Campbell,CA,95008,37.293625,-121.961475,www.internationalculinarycenter.com
Milan Institute-Las Vegas,710 South Tonopah,Las Vegas,NV,89106,36.161934,-115.170641,www.milaninstitute.edu
Virginia College-Savannah,"14045 Abercorn Street, Suite 1503",Savannah,GA,31419,31.98358,-81.171154,not available
Virginia College-Columbus,5601 Veterans Parkway,Columbus,GA,31904,32.524114,-84.963872,not available
Donna'S Academy Of Hair Design,14454 North Us Highway 169,Smithville,MO,64089,39.355842,-94.584916,www.donnashairacademymo.com
New York School Of Esthetics & Day Spa,14 North Broadway,Tarrytown,NY,10591,41.076665,-73.857795,www.newyorkschoolofesthetics.com
Panache Academy Of Beauty,232 Water Street,Baraboo,WI,53913,43.466987,-89.739243,panacheacademyofbeauty.com
Finger Lakes Health College Of Nursing,196 North Street,Geneva,NY,14456,42.876431,-76.98784,www.flhealth.org
Asi Career Institute,5360 Black Horse Pike,Turnersville,NJ,8012,39.755753,-75.046217,asi.edu
Chicago School For Piano Technology (The),2041 West Carroll Avenue,Chicago,IL,60612,41.887443,-87.678394,pianotechschool.com
Midwest Technical Institute,113 Market Ridge Drive,Ridgeland,MS,39157,32.402516,-90.178196,deltatechnicalcollege.com/
Christine Valmy International School Of Esthetics & Cosmetology,285 Changebridge Road,Pine Brook,NJ,7058,40.868977,-74.358329,www.christinevalmy.com
City College-Hollywood,6565 Taft Street,Hollywood,FL,33024,26.02527,-80.219967,www.citycollege.edu
Paul Mitchell The School-Arlington,"309 Curtis Mathes Way, #101",Arlington,TX,76018,32.680745,-97.107189,school.paulmitchell.edu/arlington-tx/
Rocky Mountain University Of Health Professions,561 East 1860 South,Provo,UT,84606,40.209606,-111.649325,www.rmuohp.edu
Mediatech Institute-Oceanside,302 Oceanside Boulevard,Oceanside,CA,92054,33.183038,-117.370735,www.mediatech.edu
Christie'S Education,"11 West 42Nd Street, 8Th Floor",New York,NY,10036,40.754185,-73.981689,www.christies.edu
Prince Institute Of Professional Studies,"1300 E. Woodfield Road, Ste 110",Schaumburg,IL,60173,42.043663,-88.046181,www.princeinstitute.edu
Palmetto Beauty School,2601 East Main Street,Spartanburg,SC,29307,34.978432,-81.871071,www.palmettocosmo.com
Paul Mitchell The School-Fort Myers,9941 Interstate Commerce Drive,Fort Myers,FL,33907,26.495581,-81.792422,fort-myers.paulmitchell.edu/fort-myers-fl
Paul Mitchell The School Raleigh,8551 Glenwood Avenue Suite 100,Raleigh,NC,27612,35.882566,-78.740471,raleigh.paulmitchell.edu/raleigh-nc
New Community College At Cuny (The),50 West 40Th Street,New York,NY,10018,40.75303,-73.984055,www.ncc.cuny.edu/index.html
Lil Lou'S Barber College,4509 Broadway,Gary,IN,46409,41.536474,-87.335957,www.lillousbarbercollege.com
Bryan University,3215 Lemone Industrial Boulevard,Columbia,MO,65201,38.915735,-92.292597,not available
Virginia College-Tulsa,5124 South Peoria Avenue,Tulsa,OK,74105,36.088311,-95.977211,www.vc.edu/college/tulsa-oklahoma-colleges.cfm
Criswell College,4010 Gaston Avenue,Dallas,TX,75246,32.793513,-96.77669,www.criswell.edu
Virginia College-Knoxville,5003 North Broadway Street,Knoxville,TN,37918,36.02984,-83.930752,www.vc.edu
Durham Beauty Academy,1221 Sunset Boulevard,West Columbia,SC,29169,33.99757,-81.080159,columbiaacademyofcosmetology.com
Academy Of Couture Art,5700 Wilshire Blvd Ste 275,Los Angeles,CA,90036,34.06186,-118.353184,www.academyofcoutureart.edu/
Global Institute,Ave Luis Munoz Marin Esq Georgetti,Caguas,PR,725,18.2174,-66.033711,globalcaguas.com
Regency Beauty Institute-Knoxville,8239 Kingston Pike,Knoxville,TN,37919,35.925289,-84.054376,www.regencybeauty.com
Regency Beauty Institute-Fayetteville,4107 Steele Boulevard,Fayetteville,AR,72703,36.126365,-94.156136,www.regencybeauty.com
Regency Beauty Institute-Lansing,"3415 West Saginaw Street, Suite E & F",Lansing,MI,48915,42.738296,-84.571486,www.regencybeauty.com
Regency Beauty Institute-Jacksonville-Orange Park,20 Blanding Boulevard,Orange Park,FL,32073,30.188414,-81.740428,www.regencybeauty.com
Regency Beauty Institute-Crystal Lake,5657 Northwest Highway,Crystal Lake,IL,60014,42.223351,-88.308224,www.regencybeauty.com
Regency Beauty Institute-Manassas,11740 Sudley Manor Drive,Manassas,VA,20109,38.785838,-77.519604,www.regencybeauty.com
Regency Beauty Institute-Castleton,5939 East 82Nd Street,Indianapolis,IN,46250,39.904655,-86.06594,www.regencybeauty.com
Regency Beauty Institute-North Nashville,2293 Gallatin Pike North,Madison,TN,37115,36.306358,-86.682799,www.regencybeauty.com
Regency Beauty Institute-Round Rock,"2711 Lafrontera, Suite 110",Round Rock,TX,78681,30.480457,-97.684117,www.regencybeauty.com
Regency Beauty Institute-Merrillville,"2505 Southland Mall, Store 2495D",Merrillville,IN,46410,41.468534,-87.310089,www.regencybeauty.com
Regency Beauty Institute-Roanoke,5002 Cross Road,Roanoke,VA,24012,37.317217,-79.956619,www.regencybeauty.com
Regency Beauty Institute-Toledo,1554 Spring Meadows Drive,Holland,OH,43528,41.614943,-83.698847,www.regencybeauty.com
Regency Beauty Institute-Sw Houston,"8201 South Gessner Drive, Suite A",Houston,TX,77036,29.690013,-95.532502,www.regencybeauty.com
Everest College-Atlanta West,"2841 Greenbriar Parkway, Sw",Atlanta,GA,30331,33.68842,-84.491821,www.everest.edu/campus/atlanta_west
Broadview University-Boise,2750 East Gala Court,Meridian,ID,83642,43.589899,-116.360045,broadviewuniversity.edu
Advanced Institute Of Hair Design,353 E. Campus Mall,Madison,WI,53715,43.072442,-89.398703,www.vicibeautyschool.com
Paul Mitchell The School-Columbia,700 Gervais Street #D,Columbia,SC,29201,33.998218,-81.040607,school.paulmitchell.edu/columbia-sc
Paul Mitchell The School-Charleston,"4952 Centre Pointe Drive, Suite 114",North Charleston,SC,29418,32.874611,-80.022852,school.paulmitchell.edu/charleston-sc
Everest College-Melrose Park,"1101 West North Avenue, Suite 1",Melrose Park,IL,60160,41.910526,-87.847839,www.everest.edu/campus/melrose_park
Kenneth Shuler School Of Cosmetology,3528-A Earl E. Morris Jr. Highway,Greenville,SC,29611,34.791107,-82.484562,kennethshuler.com
South University-Accelerated Graduate Programs,6600 Peachtree Dunwoody Road,Atlanta,GA,30328,33.937413,-84.354883,www.southuniversity.edu/savannah/business-administration-degree-amba-215312.aspx
South University-The Art Institute Of Fort Worth,"7000 Calmont Avenue, Suite 150",Fort Worth,TX,76116,32.734886,-97.438289,www.artinstitutes.edu/fort-worth/
South University-Novi,41555 Twelve Mile Road,Novi,MI,48377,42.495505,-83.457357,www.southuniversity.edu
Northwest College,"1020 Green Acres Road, # 15",Eugene,OR,97401,44.092049,-123.096946,www.nwcollege.edu
Harrison College-Morrisville,2001 Carrington Mill Boulevard,Morrisville,NC,27560,35.859091,-78.8405,harrison.edu
Trend Setters' Academy Of Beauty Culture,8111 Preston Highway,Louisville,KY,40219,38.134695,-85.684194,not available
National University College-Caguas,190 Ave. Gautier Ben?Tez Esquina Ave. Federico Degetau,Caguas,PR,725,18.212224,-66.050684,www.nuc.edu
Beauty Schools Of America,1011 5Th Street,Miami Beach,FL,33139,25.774802,-80.138689,www.bsa.edu
Cet-Soledad,"930 Los Coches Drive, Suite 103",Soledad,CA,93960,36.414544,-121.3166,cetweb.org/index.php
Marjon School Of Beauty Culture,144 Main Street,Lockport,NY,14094,43.17039,-78.689042,www.marjonbeauty.com/
Houston Training Schools-Southwest,7045 Southwest Freeway,Houston,TX,77074,29.707732,-95.50831,houstontrainingschools.net
Vanguard College Of Cosmetology-Metairie,3321 Hessmer Avenue,Metairie,LA,70002,30.00444,-90.163354,vanguard.paulmitchell.edu
New England Tractor Trailer Training School Of Massachusetts,1600 Osgood Street,North Andover,MA,1845,42.732042,-71.118272,www.nettts.com
Heritage College-Columbus,"150 Taylor Station, 2Nd Floor",Columbus,OH,43213,39.982748,-82.841635,www.heritage-education.com
Utah College Of Massage Therapy-Vegas,"2381 East Windmill Lane, Suite 14",Las Vegas,NV,89123,36.041332,-115.120928,www.steinered.com/
Utah College Of Massage Therapy-Tempe,"1409 West Southern Avenue, Suite 6",Tempe,AZ,85282,33.391682,-111.962379,www.steinered.com/
Utah College Of Massage Therapy-Phoenix,"10000 North 31 Avenue, Metro Center Business Park, Bldg D, #100",Phoenix,AZ,85051,33.577266,-112.126573,www.steinered.com/
Utah College Of Massage Therapy-Westminster,8991 B Harlan Street Suite B,Westminster,CO,80031,39.859033,-105.065226,www.steinered.com/
Utah College Of Massage Therapy-Aurora,14107A East Exposition Avenue,Aurora,CO,80012,39.704904,-104.825098,www.steinered.com/
Sanford-Brown College-Portland,600 South West 10Th Avenue,Portland,OR,97205,45.520334,-122.681749,www.sanfordbrown.edu/portland
Tint School Of Makeup & Cosmetology-Grand Prairie,311-A East Highway 303,Grand Prairie,TX,75051,32.708281,-97.000966,tintschoolofmakeupandcosmetology.com/
Dewey University,"Carr# 182 Km 0.2, Catalina Morales Street",Yabucoa,PR,767,18.070636,-65.896596,jdc.edu
Shear Learning Academy Of Cosmetology,241 North Main Street,Decatur,IL,62523,39.843265,-88.956239,www.shearlearning.com
University Of Cosmetology Arts & Sciences,724 East Expressway 83,La Joya,TX,78560,26.246009,-98.467957,www.ucastx.com
Preferred College Of Nursing,"6551 Van Nuys Boulevard, Suite 200",Van Nuys,CA,91401,34.189885,-118.449172,www.pcnvannuys.com
Bryant & Stratton College-Akron,190 Montrose West Avenue,Copley,OH,44321,41.128187,-81.655083,www.bryantstratton.edu
Annenberg School Of Nursing,7150 Tampa Avenue,Reseda,CA,91335,34.200129,-118.552723,www.jha.org/annenberg/
American Medical Academy,12215 Sw 112 Street,Miami,FL,33186,25.663377,-80.393587,www.ama.edu
Tooele Applied Technology College,66 West Vine Street,Tooele,UT,84074,40.530885,-112.300433,www.tatc.edu
Chamberlain College Of Nursing-Georgia,"5775 Peachtree Dunwoody Road, Ne, Suite A100",Atlanta,GA,30342,33.911532,-84.350359,www.chamberlain.edu
Chamberlain College Of Nursing-Indiana,"9100 Keystone Crossing, Suite 600",Indianapolis,IN,46240,39.919016,-86.111221,www.chamberlain.edu
Carrington College-Mesquite,3733 West Emporium Circle,Mesquite,TX,75150,32.815899,-96.625985,www.carrington.edu
Janus University,1601 Dove Street Suite 205,Newport Beach,CA,92660,33.66418,-117.866516,not available
Universidad Internacional Iberoamericana,"Carr. 658, Km. 1.3, Barrio Arenalejos, S?Ctor Palache",Arecibo,PR,613,18.413123,-66.703599,www.unini.org
Sessions College For Professional Design,"350 S. Mill Avenue, Suite B-104",Tempe,AZ,85281,33.426942,-111.940456,www.sessions.edu
"Southeastern Technical Careers Institute, Inc.","3111 South Dixie Highway, Suite 138",West Palm Beach,FL,33405,26.685445,-80.055407,stciflorida.com
Virginia College-Shreveport/Bossier City,2950 East Texas Street,Bossier City,LA,71111,32.526653,-93.703797,www.vc.edu/campus/shreveport-louisiana-college.cfm
Strayer University-Wisconsin,9000 West Chester Street,Milwaukee,WI,53214,43.028827,-88.024559,www.strayer.edu/campus/milwaukee
Strayer University-Indiana,9025 N. River Road,Indianapolis,IN,46240,39.918179,-86.096313,www.strayer.edu/campus/north-indianapolis
Tulsa Welding School,1750 Southside Boulevard,Jacksonville,FL,32216,30.313564,-81.56007,www.weldingschool.com
Herzing University,3 Point Place,Madison,WI,53719,43.055358,-89.514893,not available
Regency Beauty Institute-Hoover,1775 Montgomery Highway South,Hoover,AL,35244,33.379671,-86.802573,www.regencybeauty.com
Regency Beauty Institute-San Antonio,"309 North West Loop 410, Suite 1",San Antonio,TX,78216,29.523026,-98.49778,www.regencybeauty.com
Regency Beauty Institute-Tampa,14360 North Dale Mabry Highway,Tampa,FL,33609,28.077123,-82.508287,www.regencybeauty.com
Regency Beauty Institute-Clearwater,25973 Us Highway 19 North,Clearwater,FL,33763,28.00839,-82.728251,not available
Regency Beauty Institute-Newport News,"12365 Hornsby Lane, Suite C",Newport News,VA,23609,37.114487,-76.504433,not available
Regency Beauty Institute-Lewisville,"2325 South Stemmons Freeway, Suite 404",Lewisville,TX,75067,33.007239,-96.975472,not available
Regency Beauty Institute-Dallas,"13465 Inwood Road, Suite 185",Dallas,TX,75244,32.929861,-96.822881,not available
Regency Beauty Institute-Plano,1017 North Central Expressway,Plano,TX,75075,33.015833,-96.709807,not available
Empire Beauty School-Virginia Beach,116 South Independence Boulevard,Virginia Beach,VA,23462,36.838586,-76.135527,www.empire.edu
Concorde Career Institute-San Antonio,4803 Nw Loop 410,San Antonio,TX,78229,29.490055,-98.582369,www.concorde.edu
Sanford-Brown College-Columbus,2800 Corporate Exchange Parkway,Columbus,OH,43231,40.103378,-82.942644,www.sanfordbrown.edu/columbus
Ross Medical Education Center,1064 Suncrest Towne Centre Drive,Morgantown,WV,26505,39.653428,-79.942253,www.rosseducation.edu
Ecotech Institute,1400 South Abilene Street,Aurora,CO,80012,39.691287,-104.826865,ecotechinstitute.com
Paul Mitchell The School-Ogden,2263 Grant Avenue,Ogden,UT,84401,41.225236,-111.974235,school.paulmitchell.edu/ogden-ut
Ati Career Training Center-Lewisville,1310 South Stemmons Freeway,Lewisville,TX,75067,33.02849,-96.989927,www.aticareertraining.edu
Collegeamerica Denver,1026 Maxwell Street,Colorado Springs,CO,80906,38.774586,-104.781107,collegeamerica.edu
Everest Institute-Bensalem,3050 Tillman Drive,Bensalem,PA,19020,40.114271,-74.958746,bensalem.everestinstitute.edu/
Johnson & Wales University-Online,8 Abbott Park Pl,Providence,RI,2903,41.820213,-71.413674,www.jwu.edu/content.aspx?id=55426
Golf Academy Of America-Farmers Branch,"1861 Valley View Lane, Suite 100",Farmers Branch,TX,75234,32.9228,-96.917191,golfacademy.edu
Everest College-Fort Worth South,La Gran Plaza 4200 S Fwyste 4200,Ft Worth,TX,76115,32.686969,-97.325083,www.everest.edu/campus/fort_worth_south
Utah College Of Massage Therapy,1055 S. Sherman Street,Richardson,TX,75801,32.937534,-96.740564,www.texasmassagetherapy.com
Everest College-Santa Ana,500 West Santa Ana Blvd,Santa Ana,CA,92701,33.747615,-117.873219,www.everest.edu/campus/santa_ana
Miami Ad School-New York,10 Jay Street,Brooklyn,NY,11201,40.704431,-73.986638,www.miamiadschool.com
Lacy Cosmetology School,2070 Sam Rittenberg Blvd.,Charleston,SC,29407,32.797541,-80.032151,www.lacyschools.com
Dade Medical College,2601 South Military Trail,West Palm Beach,FL,33415,26.638528,-80.115066,not available
Westmed College,"3031 Tisch Way, 1St Floor, Ste 8Pw",San Jose,CA,95128,37.317499,-121.94767,www.westmedcollege.edu
Larry'S Barber College,10456 S. Halsted Street,Chicago,IL,60628,41.703711,-87.643207,www.larrysbarbercollege.com
Lewistown Hospital School Of Nursing,400 Highland Avenue,Lewistown,PA,17044,40.61848,-77.567312,www.lewistownhospital.org
Futura Career Institute,4512 West 12Th Avenue,Hialeah,FL,33012,25.863099,-80.307231,www.futuracareerinstitute.net
Access Careers,25 Elm Place,Brooklyn,NY,11201,40.689431,-73.983834,www.accesscareers.edu
The Hair Design School-Charlotte,4901-B N Tyron St,Charlotte,NC,28213,35.258559,-80.783745,www.empire.edu/
Moreno Valley College,16130 Lasselle St,Moreno Valley,CA,92551,33.887063,-117.202554,www.mvc.edu/
Flair Beauty College,18914 Soledad Canyon Road,Canyon Country,CA,91351,34.41485,-118.465239,flairbeautycollege.com
The Hair Design School-Durham,5106 N Roxboro Rd,Durham,NC,27704,36.068656,-78.90633,www.empire.edu/
Hair Design Institute At Fifth Avenue-New York,"500 8Th Ave., 8Th Floor",New York,NY,10018,40.752971,-73.992381,hairdesigninstitute.com
The Hair Design School-E Greensboro,2001 E Wendover Ave,Greensboro,NC,27405,36.08751,-79.759502,www.empire.edu/
Onondaga School Of Therapeutic Massage-Rochester,302 N Goodman St Ste 200,Rochester,NY,14607,43.159086,-77.584781,www.ostm.edu/
The Hair Design School-Winston-Salem,7740 N Point Blvd,Winston-Salem,NC,27106,36.151383,-80.284787,www.empire.edu/
Norco College,2001 Third St,Norco,CA,92860,33.916752,-117.569994,www.rcc.edu/norco/index.cfm
Empire Beauty School-West Palm,4258  Okeechobee Blvd,West Palm Beach,FL,33409,26.705541,-80.107401,www.empire.edu/
Daymar College-Louisville,3309 Collins Lane,Louisville,KY,40245,38.291264,-85.516003,www.daymarcollege.edu/
Empire Beauty School-Pineville,8700 Pineville-Matthews Rd,Charlotte,NC,28226,35.089561,-80.865338,www.empire.edu/cosmetology-schools/north-carolina/charlotte-pineville
Dorsey Business Schools-Saginaw,4390 Bay Rd,Saginaw,MI,48603,43.47058,-83.973096,dorsey.edu
The Hair Design School-N Memphis,3250 Coleman Rd,Memphis,TN,38128,35.214769,-89.91727,www.empire.edu/
Milan Institute Of Cosmetology-La Quinta,"47120 Dune Palms Ste C-2, D And E",La Quinta,CA,92253,33.706019,-116.276905,www.milaninstitute.edu
Milan Institute-Nampa,1021 W. Hemingway,Nampa,ID,83651,43.600657,-116.594066,www.milaninstitute.edu
Broadview University-Salt Lake City,240 E Morris Ave,Salt Lake City,UT,84115,40.717355,-111.88449,www.broadviewuniversity.edu/
Milan Institute Of Cosmetology-El Paso,"1580 George Dieter Dr., Ste 207",El Paso,TX,79925,31.749728,-106.300222,www.milaninstitute.edu
Bryant & Stratton College-Hampton,"4410 East Claiborne Square, Suite 233",Hampton,VA,23666,37.043869,-76.392725,www.bryantstratton.edu
Finger Lakes School Of Massage,272 North Bedford Rd,Mt. Kisco,NY,10549,41.21715,-73.718373,www.flsm.com/
Paul Mitchell The School-Phoenix,3423 W Bethany Home Rd,Phoenix,AZ,85017,33.523667,-112.133047,school.paulmitchell.edu/phoenix-az
Park Avenue School Of Cosmetology,306 Main Ave S,Park Rapids,MN,56470,46.919636,-95.059663,www.parkavenuecosmetology.com
All Beauty College,1385 E Gemini St,Fort Mohave,AZ,86426,35.021355,-114.600955,www.allbeautycollege.com
Salter School Of Nursing & Allied Health,670 N. Commercial Street,Manchester,NH,3101,42.979155,-71.449422,www.salternursing.com
Northern California Institute Of Cosmetology Inc,601 East 14Th Street,San Leandro,CA,94577,37.730551,-122.160695,www.ncinstitutecosmetology.com
Salter School-New Bedford,950 Kings Hwy,New Bedford,MA,2745,41.674904,-70.941702,salterschool.com
Golden State College Of Court Reporting,6543 Regional St,Dublin,CA,94568,37.700763,-121.931819,goldenstatecourtreporting.com/
Harris School Of Business-Upper Darby Campus,20 South 69Th St,Upper Darby,PA,19082,39.960921,-75.259212,www.harrisschool.edu
Preferred College Of Nursing-Los Angeles,3424  Wilshire Blvd Ste 1100,Los Angeles,CA,90010,34.060395,-118.297845,www.pcnla.com/
Trinity Vocational Center,1149 W 190Th St Ste 2000,Gardena,CA,90248,33.858768,-118.296535,trinityvocational.com/
Stratford School Of Aviation Maintenance Technicians,200 Great Meadows Rd,Stratford,CT,6615,41.161248,-73.130805,www.cttech.org/ssamt/index.htm
Sice Paul Mitchell Partner School,3100 Mchenry Ave,Modesto,CA,95350,37.68301,-120.993745,safavi.paulmitchell.edu/modesto-ca/
Brown Mackie College-San Antonio,4715 Fredericksburg Rd Ste 520,San Antonio,TX,78229,29.494338,-98.555762,www.brownmackie.edu
Cosmo Beauty Academy,3500 Fulton Avenue,Sacremanto,CA,95821,38.590143,-121.524919,www.cosmobeautyacademy.edu
Hollywood Institute Of Beauty Careers,1440 79Th St Causeway Ste 100,Miami Beach,FL,33141,25.84826,-80.154775,www.hi.edu
Paul Mitchell The School-Fresno,5091 N Fresno St Ste 104,Fresno,CA,93710,36.809771,-119.782418,school.paulmitchell.edu/fresno-ca
Cortiva Institute-New Jersey,1985 Highway 34 South,Wall,NJ,7719,40.150569,-74.097175,https://www.cortiva.com
Sanford-Brown College-Skokie,4930 Oakton Street,Skokie,IL,60077,42.026538,-87.751128,www.sanfordbrown.edu/skokie
Unitek College,4670 Auto Mall Pkwy,Fremont,CA,94538,37.50902,-121.961762,unitekcollege.edu/
Cambridge Junior College-Woodland,501 Main Street,Woodland,CA,95695,38.677677,-121.77436,www.cambridge.edu
Baltimore School Of Massage-York,170 Red Rock Road,York,PA,17402,40.085337,-76.768426,www.steinered.com/
Anthem College-Atlanta,2450 Piedmont Rd Ne,Atlanta,GA,30324,33.823089,-84.368233,www.anthem.edu
Allen School-Phoenix,"15650 North Black Canyon Highway, B210",Phoenix,AZ,85053,33.629635,-112.11743,online.allenschool.edu/online/
Gurnick Academy Of Medical Arts,2121 S El Camino Real Bldg C 200,San Mateo,CA,94403,37.547364,-122.307981,www.gurnick.edu
Oklahoma Technical College,4444 South Sheridan,Tulsa,OK,74145,36.098685,-95.905898,www.oklahomatechnicalcollege.com/
Icpr Junior CollegeâManat?,Carretera #2 K.M. 4.9 Puerta Del Norte Mall,Arecibo,PR,674,18.426701,-66.465255,www.icprjc.edu
Southern California University Soma,1541 Wilshire Blvd 3Rd Fl,Los Angeles,CA,90017,34.055449,-118.269709,not available
Western Beauty Institute,2733 W Avenue L,Lancaster,CA,93536,34.661975,-118.180346,www.wbi.edu
Paul Mitchell The School-East Bay,"100 Crescent Dr., Suite A",Pleasant Hill,CA,94523,37.944916,-122.061225,school.paulmitchell.edu/east-bay-ca
Star Career Academy-Clifton,1230 Main Street,Clifton,NJ,7011,40.877546,-74.142129,www.starcareeracademy.com
Ridley-Lowell Business And Technical Institute,44 Shelter Rock Rd,Danbury,CT,6810,41.388925,-73.429486,www.ridley.edu
South UniversityâRichmond,2151 Old Brick Rd,Glen Allen,VA,23060,37.647061,-77.599966,www.southuniversity.edu
Unitech Training Academy-Alexandria,7228 England Drive,Alexandria,LA,71301,31.322494,-92.534685,www.unitechtrainingacademy.com
Artistic Nails And Beauty Academy,985 E Memorial Blvd,Lakeland,FL,33801,28.053634,-81.94718,www.artisticbeautyschool.com/
South UniversityâVirginia Beach,"301 Bendix Rd, Ste 100",Virginia Beach,VA,23452,36.834256,-76.124681,www.southuniversity.edu
Aveda Institute Denver,700 16Th Street,Denver,CO,80202,39.744869,-104.99319,avedaschooldenver.com/
Unitech Training Academy-Lake Charles,2827 4Th Avenue,Lake Charles,LA,70601,30.204239,-93.192846,www.unitechtrainingacademy.com
Paul Mitchell The School-Murfreesboro,"1720 Old Fort Pkwy, Suite L200",Murfreesboro,TN,37129,35.848044,-86.417934,www.paulmitchelltheschool.com
Paul Mitchell The School-Colorado Springs,118 West Colorado Avenue,Colorado Springs,CO,80903,38.832889,-104.828339,school.paulmitchell.edu/colorado-springs-co
Aveda Institute Los Angeles,10935 Weyburn Avenue,Los Angeles,CA,90024,34.062795,-118.446567,www.avedainstitutelosangeles.com
Allied American University,22952 Alcalde Drive,Laguna Hills,CA,92653,33.623073,-117.72957,not available
The Salon Professional Academy-Colorado Springs,4388 Austin Bluffs Pkwy,Colorado Springs,CO,80918,38.896141,-104.751295,www.tspacoloradosprings.com
Career Quest Learning Center-Kalamazoo,5115 Portage Road,Kalamazoo,MI,49002,42.24322,-85.558136,www.cqlc.edu
American Sentinel University,2260 South Xanadu Way,Aurora,CO,80014,39.67603,-104.83195,www.americansentinel.edu
Paul Mitchell The School-Delaware,1420 Pulaski Hwy,Newark,DE,19702,39.622736,-75.680351,delaware.paulmitchell.edu/newark-de
Buchanan Beauty College,211 West Coffee Street,Tullahoma,TN,37388,35.354212,-86.206049,coffeecountybeauty.shutterfly.com
Tribeca Flashpoint Media Arts Academy,28 North Clark Street,Chicago,IL,60602,41.88286,-87.631319,www.tfa.edu
Future-Tech Institute,3446 Sw 8Th St Ste 218,Miami,FL,33135,25.764555,-80.251528,www.futuretechinstitute.com/
Wellspring School Of Allied Health,947 New Hampshire,Lawrence,KS,66045,38.965848,-95.235123,www.wellspring.edu/mtti-wellspring-kansas-city-campus
Hawaii Medical College,1221 Kapiolani Boulevard,Honolulu,HI,96814,21.295112,-157.847678,www.hmi.edu
Marchman Technical Education Center,7825 Campus Dr.,New Port Richey,FL,34653,28.271196,-82.691779,mtec.pasco.k12.fl.us/
Art Institute Of Wisconsin (The),"320 East Buffalo Street, Suite 100",Milwaukee,WI,53202,43.033318,-87.906279,www.artinstitutes.edu/milwaukee/
Carolina College Of Hair Design,85 Tunnel Road,Asheville,NC,28805,35.592354,-82.534832,carolinacollege.com/
Eureka Institute Of Health And Beauty,11373 West Flagler St Suite #209,Miami,FL,33174,25.769799,-80.380766,www.eurekahealthandbeauty.com/
Virginia College-Baton Rouge,9501 Cortana Place,Baton Rouge,LA,70815,30.459888,-91.097968,www.vc.edu/campus/baton-rouge-louisiana-college.cfm
The Salon Professional Academy-Ft Myers,13422 N Cleveland Ave,North Fort Myers,FL,33903,26.664097,-81.884372,www.thesalonprofessionalacademyftmyers.com
Brown Mackie College-Birmingham,"105 Vulcan Road, Suite 100",Birmingham,AL,35209,33.467909,-86.828581,www.brownmackie.edu
Remington College,500 International Parkway,Heathrow,FL,33612,28.766389,-81.362156,www.remingtoncollege.edu/
Solex College,"350 E Dundee Rd., Ste. 200",Wheeling,IL,60090,42.14041,-87.906669,www.solex.edu/
Regina'S College Of Beauty,1631 Gordon Highway,Augusta,GA,30906,33.440646,-82.013127,www.reginascollegeofbeauty.com
College Of Massage Therapy,98 Poplar Street,Blackfoot,ID,83221,43.193015,-112.347003,www.collegemassagetherapy.com
Unity Cosmetology College,24 Vermillion Plaza,Pontiac,IL,61764,40.878735,-88.636004,www.beautyschoolsdirectory.com/schools/unity-pontiac/
New York Film Academy,"100 Universal City Plaza, Building 9128 / Suite 179",Universal City,CA,91608,34.152072,-118.335566,www.nyfa.edu
Universal Spa Training Academy,340 Burlington Ave,Downers Grove,IL,60515,41.796008,-87.99384,www.spatrainingacademy.com
Manuel And Theresa'S School Of Hair Design,1405 East North,Victoria,TX,77902,28.799939,-96.991642,manuelandtheresasschoolofhair.com
Miller-Motte College,1291 Hargett Street,Jacksonville,NC,28540,34.751443,-77.414322,www.miller-motte.edu
The Salon Professional Academy-Evansville,5545 Vogel Rd,Evansville,IN,47715,37.987268,-87.483671,www.tspaevansville.com
