name,address,city,state,zip,latitude,longitude,website
Midway Paris Beauty School,54-40 Myrtle Ave,Ridgewood,NY,11385,40.699612,-73.909591,www.midwayparis.com/
Mildred Elley School-Albany Campus,855 Central Ave,Albany,NY,12206,42.680833,-73.788615,www.mildred-elley.edu
Mirrer Yeshiva Cent Institute,1791-5 Ocean Pky,Brooklyn,NY,11223,40.605043,-73.966049,not available
Mohawk Valley Community College,1101 Sherman Dr,Utica,NY,13501,43.077384,-75.217197,www.mvcc.edu
Molloy College,1000 Hempstead Ave,Rockville Centre,NY,11571,40.68597,-73.626278,www.molloy.edu
Monroe College-Main Campus,2501 Jerome Avenue,Bronx,NY,10468,40.864071,-73.900481,www.monroecollege.edu
Monroe College-New Rochelle,Not Available,Not Available,NY,not available,40.91042,-73.77916,not available
Nazareth College,4245 East Ave,Rochester,NY,14618,43.101502,-77.516523,www.naz.edu
Neighborhood Playhouse School Of The Theater,340 E 54Th St,New York,NY,10022,40.756613,-73.965332,www.neighborhoodplayhouse.org
The College Of New Rochelle,29 Castle Pl,New Rochelle,NY,10805,40.899427,-73.781104,www.cnr.edu
New School Of Radio And Television,7 Harriman Campus Road,Albany,NY,12206,42.679954,-73.807706,thenewschool.us
Star Career Academy-New York,154 W 14Th St 10Th Floor,New York,NY,10011,40.738251,-73.999551,www.starcareeracademy.com
New York Institute Of English And Business,248 W 35Th St,New York,NY,10001,40.752187,-73.992014,www.nyieb.org
New York Law School,185 West Broadway,New York,NY,10013,40.717393,-74.006394,www.nyls.edu
New York Medical College,Administration Building,Valhalla,NY,10595,41.084261,-73.811241,www.nymc.edu
University Of Phoenix-Colorado Campus,10004 Park Meadows Dr,Lone Tree,CO,80124,39.551643,-104.873421,www.phoenix.edu
University Of Phoenix-Albuquerque Campus,5700 Pasadena Ne,Albuquerque,NM,87113,35.197066,-106.585189,www.phoenix.edu
University Of Phoenix-Bay Area Campus,3590 N First St,San Jose,CA,95134,37.689982,-121.93015,www.phoenix.edu
University Of Phoenix-Southern California Campus,3100 Bristol Street,Costa Mesa,CA,92626,33.685778,-117.884998,www.phoenix.edu
Galen School Of Nursing-Tampa Bay,"11101 Roosevelt Boulevard N., Suite 100",Saint Petersburg,FL,33716,27.858677,-82.640182,www.galencollege.edu/tampabay
Galen College Of Nursing-San Antonio,"7411 John Smith Drive, Suite 300",San Antonio,TX,78229,29.50769,-98.58566,www.galencollege.edu/sanantonio/
Southeastern Beauty School-Columbus North Lumpkin,3535 Macon Road,Columbus,GA,31907,32.486095,-84.935514,www.sebs.edu
Southeastern Beauty School-Columbus Midtown,1826 Midtown Dr,Columbus,GA,31906,32.479705,-84.941482,www.sebs.edu
Sarasota School Of Massage Therapy,5899 Whitfield Ave Suite 300,Sarasota,FL,34243,27.389727,-82.486664,www.sarasotaschoolofmassagetherapy.edu
Wright Career College,10700 Metcalf Ave,Overland Park,KS,66210,38.933748,-94.669135,www.wrightcc.edu
Sanford-Brown College-Hazelwood,75 Village Square,Hazelwood,MO,63042,38.781799,-90.362688,www.sanford-browncollege.com
Schuyler-Steuben-Chemung-Tioga-Allegany Boces,459 Philo Road,Elmira,NY,14903,42.192208,-77.136244,www.gstboces.org
Dci Career Institute,366 Beaver Valley Mall,Monaca,PA,15061,40.674255,-80.31401,www.dci.edu
Central Susquehanna Intermediate Unit Lpn Career,1339 Saint Mary Street Suite 2,Lewisburg,PA,17837,40.873776,-76.783493,www.csiu.org/lpn
Graham Webb International Academy Of Hair,"1621 N. Kent St, Suite 1617 Ll Rosslyn Plaza",Arlington,VA,22209,38.89514,-77.069339,www.grahamwebbacademy.edu
Empire Beauty School-Malden,347 Pleasant St,Malden,MA,2148,42.427368,-71.076619,www.empire.edu
Minnesota School Of Business-Brooklyn Center,5910 Shingle Creek Pky,Brooklyn Center,MN,55430,45.062699,-93.311831,www.msbcollege.edu
Capri Institute Of Hair Design-Paramus,615 Winters Ave,Paramus,NJ,7652,40.962698,-74.071583,www.capriinstitute.com
Orlo School Of Hair Design And Cosmetology,232 North Allen St,Albany,NY,12206,42.674053,-73.784587,www.theorloschool.com
Eastland-Fairfield Career And Technical Schools,4300 Amalgamated Pl,Groveport,OH,43125,39.88667,-82.884305,www.eastlandfairfield.com
Mahoning County Career And Technical Center,7300 N Palmyra Rd,Canfield,OH,44406,41.032696,-80.787668,www.mahoningctc.com
Pioneer Career And Technology Center,27 Ryan Rd,Shelby,OH,44875,40.901875,-82.666816,www.go2pioneer.com
Raphael'S School Of Beauty Culture Inc-Boardman,615 Boardman-Canfield Rd,Boardman,OH,44512,41.044752,-80.662534,www.raphaelsbeautyschool.com
Scioto County Career Technical Center,951 Vern Riffe Drive,Lucasville,OH,45648,38.854707,-82.979481,www.sciototech.org/adult/
Trumbull Career & Technical Center,528 Educational Highway,Warren,OH,44483,41.280649,-80.824807,www.tctcadulttraining.org
Northwest Technology Center-Fairview,801 Vo Tech Dr,Fairview,OK,73737,36.261986,-98.496707,www.nwtech.edu
Gene Juarez Academy Of Beauty-Branch Campus,2222 So. 314 St,Federal Way,WA,98003,47.320505,-122.304472,www.genejuarezacademy.com
Empire Beauty School-Appleton,525 Westhill Blvd,Appleton,WI,54914,44.266163,-88.461413,www.empire.edu
Empire Beauty School-Green Bay,2575 W Mason St,Green Bay,WI,54304,44.523496,-88.097938,www.empire.edu
