Name,CollegeID,State_Abbreviation,State
Chapman University,71,California,5
Concordia University-Irvine,72,California,5
San Diego Christian College,73,California,5
Claremont Mckenna College,74,California,5
Fresno Pacific University,75,California,5
Harvey Mudd College,76,California,5
Holy Names University,77,California,5
Humboldt State University,78,California,5
University Of La Verne,79,California,5
La Sierra University,80,California,5
The Master'S College And Seminary,81,California,5
Loyola Marymount University,82,California,5
Menlo College,83,California,5
Mills College,84,California,5
Mount St Mary'S College,85,California,5
Notre Dame De Namur University,86,California,5
Occidental College,87,California,5
Hope International University,88,California,5
University Of The Pacific,89,California,5
Pepperdine University,90,California,5
Point Loma Nazarene University,91,California,5
Pomona College,92,California,5
University Of Redlands,93,California,5
San Diego State University,94,California,5
University Of San Diego,95,California,5
San Francisco State University,96,California,5
University Of San Francisco,97,California,5
San Jose State University,98,California,5
Santa Clara University,99,California,5
Scripps College,100,California,5
Simpson University,101,California,5
Saint Mary'S College Of California,102,California,5
Sonoma State University,103,California,5
Vanguard University Of Southern California,104,California,5
University Of Southern California,105,California,5
Thomas Aquinas College,106,California,5
Westmont College,107,California,5
Whittier College,108,California,5
Woodbury University,109,California,5
Adams State University,110,Colorado,6
University Of Colorado Denver,111,Colorado,6
University Of Colorado Colorado Springs,112,Colorado,6
University Of Colorado Boulder,113,Colorado,6
Colorado College,114,Colorado,6
Colorado School Of Mines,115,Colorado,6
Colorado State University-Fort Collins,116,Colorado,6
University Of Denver,117,Colorado,6
Fort Lewis College,118,Colorado,6
Colorado Mesa University,119,Colorado,6
University Of Northern Colorado,120,Colorado,6
Regis University,121,Colorado,6
Colorado State University-Pueblo,122,Colorado,6
Western State Colorado University,123,Colorado,6
Albertus Magnus College,124,Connecticut,7
University Of Bridgeport,125,Connecticut,7
Central Connecticut State University,126,Connecticut,7
University Of Connecticut,127,Connecticut,7
Eastern Connecticut State University,128,Connecticut,7
University Of Hartford,129,Connecticut,7
University Of New Haven,130,Connecticut,7
Quinnipiac University,131,Connecticut,7
University Of Saint Joseph,132,Connecticut,7
Southern Connecticut State University,133,Connecticut,7
Wesleyan University,134,Connecticut,7
Delaware State University,135,Delaware,8
University Of Delaware,136,Delaware,8
Wesley College,137,Delaware,8
American University,138,District of Columbia,9
Catholic University Of America,139,District of Columbia,9
Gallaudet University,140,District of Columbia,9
George Washington University,141,District of Columbia,9
Georgetown University,142,District of Columbia,9
Howard University,143,District of Columbia,9
Barry University,144,Florida,10
Bethune-Cookman University,145,Florida,10
Lynn University,146,Florida,10
University Of Central Florida,147,Florida,10
Clearwater Christian College,148,Florida,10
Edward Waters College,149,Florida,10
Embry-Riddle Aeronautical University-Daytona Beach,150,Florida,10
Florida Agricultural And Mechanical University,151,Florida,10
Florida Atlantic University,152,Florida,10
Florida College,153,Florida,10
Florida Institute Of Technology,154,Florida,10
Florida International University,155,Florida,10
Florida Southern College,156,Florida,10
Florida State University,157,Florida,10
